日期,北京,上海,郑州,武汉,西安,沈阳
2019/9/15,68,54,36,67,37,62
2019/9/16,61,76,42,50,53,33
2019/9/17,83,66,44,47,40,56
2019/9/18,41,72,112,49,48,37
2019/9/19,56,48,62,110,39,60
2019/9/20,74,75,78,68,45,90
2019/9/21,120,50,100,89,64,55
2019/9/22,119,45,166,91,73,40
2019/9/23,51,52,136,96,70,62
2019/9/24,61,110,102,101,68,61
2019/9/25,100,96,131,103,70,70
2019/9/26,127,74,129,105,78,80
2019/9/27,95,63,120,97,77,85
2019/9/28,127,52,130,132,72,107
2019/9/29,137,56,136,140,80,88
2019/9/30,104,46,137,130,88,135
2019/10/1,70,20,134,130,77,136
2019/10/2,70,28,128,107,83,117
2019/10/3,89,47,131,124,62,62
2019/10/4,27,61,54,151,35,23
2019/10/5,23,56,32,50,25,37
2019/10/6,47,49,38,29,37,69
2019/10/7,54,53,52,38,50,71
2019/10/8,29,80,63,38,40,38
2019/10/9,55,60,50,51,45,59
2019/10/10,67,69,48,58,45,53
2019/10/11,59,57,52,38,60,42
2019/10/12,72,70,57,49,77,53
2019/10/13,55,60,67,39,75,44
2019/10/14,34,45,50,54,55,36
2019/10/15,49,39,52,61,53,70
2019/10/16,58,49,68,33,49,82
2019/10/17,74,52,77,54,59,109
2019/10/18,82,55,80,80,72,145
2019/10/19,163,75,87,85,90,128
2019/10/20,105,87,79,90,69,107
2019/10/21,55,68,107,95,68,68
2019/10/22,75,74,93,59,90,138
2019/10/23,104,70,87,55,92,153
2019/10/24,90,61,72,64,44,112
2019/10/25,30,84,50,44,53,26
2019/10/26,59,38,77,49,58,59
2019/10/27,73,72,83,52,79,92
2019/10/28,113,95,173,54,95,62
2019/10/29,68,128,145,78,122,43
2019/10/30,93,131,124,99,90,82
2019/10/31,74,129,77,106,90,79
2019/11/1,64,87,107,107,65,53
2019/11/2,64,110,159,103,67,75
2019/11/3,48,55,74,94,79,45
2019/11/4,67,60,68,102,127,117
2019/11/5,59,50,107,83,183,80
2019/11/6,73,58,102,72,158,82
2019/11/7,47,62,149,73,98,51
2019/11/8,70,45,143,88,138,72
2019/11/9,112,54,172,102,189,105
2019/11/10,67,76,98,92,63,67
2019/11/11,54,97,89,100,85,44
2019/11/12,92,70,103,64,80,54
2019/11/13,55,74,63,54,49,39
2019/11/14,62,67,84,73,85,43
2019/11/15,64,60,95,93,99,54
2019/11/16,65,58,158,109,127,62
2019/11/17,119,62,102,102,101,63
2019/11/18,74,84,81,60,95,68
2019/11/19,56,93,96,73,110,44
2019/11/20,87,65,90,80,159,63
2019/11/21,119,62,98,101,183,57
2019/11/22,183,80,134,105,212,54
2019/11/23,175,69,250,108,231,39
2019/11/24,30,50,138,113,38,26
2019/11/25,40,33,45,25,49,49
2019/11/26,73,48,60,39,72,58
2019/11/27,34,44,76,33,95,31
2019/11/28,75,38,62,88,94,57
2019/11/29,80,54,62,55,114,88
2019/11/30,72,73,110,64,102,68
2019/12/1,30,53,102,92,52,54
2019/12/2,30,93,52,83,79,45
2019/12/3,48,112,51,105,93,55
2019/12/4,43,139,55,107,80,39
2019/12/5,48,78,92,79,103,42
2019/12/6,73,40,119,133,169,75
2019/12/7,78,80,213,99,244,58
2019/12/8,189,108,169,104,190,80
2019/12/9,233,115,78,108,90,148
2019/12/10,129,116,81,115,78,185
2019/12/11,29,148,97,103,105,68
2019/12/12,59,74,112,90,135,54
2019/12/13,50,93,144,137,176,52
2019/12/14,57,83,69,180,149,56
2019/12/15,85,54,75,130,89,63
2019/12/16,92,75,70,74,107,64
2019/12/17,28,103,92,69,82,30
2019/12/18,47,42,49,85,57,62
2019/12/19,30,57,109,53,85,99
2019/12/20,60,65,163,64,175,75
2019/12/21,65,63,205,70,254,67
2019/12/22,87,57,254,64,310,120
2019/12/23,67,64,261,60,319,158
2019/12/24,109,54,250,102,227,156
2019/12/25,79,83,282,54,200,130
2019/12/26,47,57,89,100,55,129
2019/12/27,75,98,72,95,78,150
2019/12/28,103,100,78,105,110,98
2019/12/29,118,80,118,72,139,170
2019/12/30,35,102,92,119,66,65
2019/12/31,48,34,50,97,70,59
